かっさい|、声援、喜び、元気	cheer
論争|、議論、口論、紛争（d～）	dispute
論争|、議論（c～）	controversy
相手|、敵、対向車、犯行者	opponent
逆|、裏面、後ろ、失敗	reverse
軽蔑|	contempt
臆病者|	coward
悪意|	malice
恐怖|、不安	dread
恥|、恥ずかしさ、残念なこと、ひどいこと	shame
激怒|、熱望、人気爆発	rage
激怒|、激しさ、猛威	fury
楽観主義|、楽観	optimism
うぬぼれ|	conceit
偽善|、偽善行為	hypocrisy
人の性質|、気性；配列；処理	disposition
強欲|、貪欲さ	greed
迷惑をかけるもの|	nuisance
苦難|、苦労	hardship
かんばつ|、日照り続き	drought
疾病|、災い、不幸	plague
飢餓|、飢饉、食糧不足	famine
欠点|、欠陥	defect
制約|、制限、限定、限界	limitation
不足|（高）	shortage
障害（物）|	obstacle
危険|〔破壊・支障などを招く差し迫った〕	peril
大騒ぎ|	fuss
混沌|、混乱	chaos
災難|、大惨事	calamity
内科医|	physician
外科医|	surgeon
はさみ|	scissors
感染|	infection
兆候|、兆し、症状	symptom
用心|、警告、注意	caution
刺激|、刺激物	stimulus
毒|、毒薬、弊害	poison
急ぎ|、急ぐこと	haste
食欲|、欲望	appetite
栄養の摂取|、栄養	nutrition
気晴らし|、娯楽、趣味	pastime
ガン|、蟹座、社会などの害悪	cancer
犠牲者|、被害者	victim
えじき|、犠牲	prey
幾何学|	geometry
直径|	diameter
横幅|、（心・見識の）広さ	breadth
幅|	width
部分|、分け前、一人前	portion
微量|、粒子	particle
つまらないもの|、わずか、少量	trifle
かけら|、断片、一部、分数、分散	fraction
山|、かたまり、どっさり	heap
残り|、その他の人々、急速、台、停止、静止	rest
特色|、～気味	trait
仕切り|	compartment
鋳型|、型、様式、かび、特性	mold
列|、並び	row
縦列|、円柱、縦の欄、特約寄稿欄	column
層|、地層	layer
一連のもの|、順序、結果	series
比率|、比、割合	ratio
短い期間|、全長	span
一時期|、短い時間、呪文、魔法	spell
2週間|	fortnight
編集者|	editor
草稿|、下絵、設計図、隙間風、徴兵	draft
原稿|、写本、手書き	manuscript
序文|、前置き	preface
散文|	prose
韻文|、（集合的に）詩（の一行）、聖書の「節」	verse
曲|；調和、一致；気分、機嫌	tune
物語|（文語的）	narrative
皮肉|、予想に反する結末	irony
逆説|、パラドックス、矛盾	paradox
段階|、時期、面、側面	phase
範囲|、余地	scope
語法|、使用法	usage
明瞭さ|	clarity
