（各部分の）結合|	cohesion
優雅さ|、気品、好意、神の恵み、慈悲	grace
活力|、（ことばなどの）強さ	vigor
彫刻|、彫像、彫刻品	sculpture
彫像|	statue
記念碑|、遺跡、記念物、大業績、不滅の業績	monument
傑作|、代表作、名人芸	masterpiece
光景|、壮観、見もの、惨状、眼鏡	spectacle
栄光|、壮麗、全盛	glory
名声|、評判（悪評）、信望	reputation
名声|	prestige
名声|、評判	fame
行為|、行い	deed
牧師|、大臣、聖職者	minister
牧師|、司祭、僧侶、聖職者	priest
儀式|（伝統的・宗教的な）、日常の習慣的行為	ritual
慈悲|、親切、幸運、情け	mercy
尊敬|	reverence
使節団|、任務、使命、伝導、布教	mission
古代|、古さ、古代の遺物	antiquity
迷信|、偶像崇拝	superstition
錯覚|	illusion
貴族階級|、貴族階級	aristocracy
圧政|、暴政、過酷	tyranny
階級組織|、支配層	hierarchy
移り変わり|、推移、過渡期、変わり目	transition
共和国|、団体、社会	republic
国会|（米国議会）、会議、国会、大会	congress
国会|（英国議会）	parliament
避難|、保護、避難所、隠れ家	refuge
