国籍|	nationality
行政|；管理、経営、運営；政府、政権	administration
辺境|；国境；先端（地）；最前線	frontier
国境|、境界（線）；へり、ふち；隣接する	border
境界（線）|；限界	boundary
国|（昔の日本の）、（カナダ・豪などの）州	province
領域|（学問などの）；領土；領地	domain
領域|（～s）；分野；王国	realm
君主|、主権者	sovereign
予算|、経費；予算案	budget
歳入|（国家などの）；収入	revenue
会議|、審議；評議会	council
助言|；相談；弁護人；忠告	counsel
外交|；外交手腕；かけひき	diplomacy
植民地|；居留地；集落	colony
遠征|（隊）、探検；迅速さ	expedition
主要都市|；首都	metropolis
相互作用|；言葉のやりとり	interaction
交流|；交際	intercourse
衝突|；衝撃	collision
摩擦|；あつれき；不和	friction
戦闘|、闘争；戦争状態；武力衝突	warfare
人口|；一定地域の全住民；住民；集団	population
群れ|；群がる、集まる	flock
多数|；大観衆；大衆	multitude
かんがい|	irrigation
歩道|（英）、舗装道路；舗装	pavement
歩行者|；横断歩道	pedestrian
暗号|；信号；（団体の）きまり	code
教義|（宗教上の）；（政策上の）主義	doctrine
